Country,Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in depth (mm/year),Total internal renewable water resources per capita (m3/inhab/yr),Water resources: total external renewable (10^9 m3/yr),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Environmental Flow Requirements (10^9 m3/year),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),SDG 6.4.1. Services Water Use Efficiency (US$/m3),Irrigated cropping intensity (%),Flood occurrence (WRI)
Guyana,3.623789366,4880.587529,2387,309368.6056,30,347879.2204,1038.695466,1854.54284,227.2,3.298401827,1.994019424,0.004721747,58.5531011,27.40360292,2.705882353,2.4
Haiti,400.8352432,835.716025,1440,1169.360052,1.015,1260.610951,26.70100218,130.3584281,3.188,13.38379177,4.944247406,0.20571522,51.52992578,22.59169907,136.875,3.9
Holy See,1820.454545,,,,0,0,,,,,,,,,,2.9
Honduras,85.22999378,2545.336392,1976,9456.040883,1.504,9612.911449,605.4386107,167.6136962,57.39,4.621268764,12.49913208,0.2096727,49.28457113,45.1449832,107.1052309,3.6
Hungary,104.348049,16295.32521,589,618.0788687,98,10713.36706,26.41257032,464.0227107,46.1,7.651122625,24.85034084,0.323283197,9.622940234,126.5438324,89.64599959,3.5
Iceland,3.269058252,76624.48569,1940,504881.0114,0,504881.0114,6848.859414,826.5199146,96.41,0.394075282,60.41016818,0.894191015,15.65376347,171.4054547,,0.1
India,411.4801628,2052.618239,1083,1069.01878,464.9,1412.71645,182.9475968,562.602553,937.1,66.49209283,3.005062085,0.406509582,37.69190501,24.40020124,140.046594,3.9
Indonesia,139.6399506,3906.270285,2702,7541.733869,0,7541.733869,89.66521206,831.7500966,1269,29.69654528,3.939668737,0.244884269,42.0785465,18.75067568,199.1669146,3.1
Iran (Islamic Republic of),46.87286938,5768.576511,228,1570.901035,8.545,1675.362898,543.2969421,1140.584176,22.7,81.28908129,4.617545322,0.365125627,120.2632039,43.0849436,133.7848357,3.2
Iraq,88.34254296,5395.860191,216,915.8652845,54.66,2338.058366,3949.66904,873.4544773,18.66,47.14044944,5.433622496,0.069482668,53.85096316,78.39221535,137.0357417,2.4
Ireland,68.56417188,79661.62269,1118,10168.73881,3,10791.31465,180.3394699,296.1385771,44.88,20.04213483,226.4732841,0.212742721,236.5057755,237.7441151,100,2.2
Israel,379.769642,43841.82532,435,89.48261866,1.03,212.3720816,,270.9533693,0.6209,95.93650246,131.9922234,1.598814798,567.2681203,238.4292307,89.25619835,2.9
Italy,200.7067624,35163.5738,832,3010.195524,8.8,3155.344678,165.7273455,563.9044634,77.81,29.99885452,49.28345088,0.916237516,47.15035854,137.6758875,104.4261653,2.6
Jamaica,267.0470428,5421.064248,2051,3687.756125,0,3687.756125,1.856996293,461.3528405,,12.4734362,8.840984299,1.729187376,2.338402685,65.72373161,100,3.5
